commit_id,date,message
d5848e2afa02e0a4706003b408e03bdb29174126,2013-09-02 04:54:34-07:00,"Merge pull request #71 from tdiesler/fab536

[FABRIC-536] process-fabric not included in fuse-fabric dependencies"
980f8afce7cfd10edff68f8a6198950f2cff755b,2013-09-03 22:49:18+03:00,#75 Add container option for datastore configuration. Make datastore configuration inherited. Misc alignments.
3ac3f1b7fc9141a6a9355aa52188865604308bbc,2013-09-05 09:02:29-07:00,"Merge pull request #81 from tdiesler/fab527

[FABRIC-527] Fix controller-wildfly and update to 8.0.0.Alpha4"
78f5cd8b4df0fc2b7395c0397e1edb2c483fbcbd,2013-09-06 02:38:07-07:00,"Merge pull request #82 from tdiesler/fab547

[FABRIC-527] Add more fine grained assertions to wildfly tests. Increase timeouts"
147890f407610884bdd4b5a5eee0ffb4e69770d6,2013-09-06 10:40:16-04:00,Fixes #84 fabric:container-info should also show the OS Process ID of the container.
171912c3725206b6d334d7981706b113d393ffd5,2013-09-06 11:13:28-04:00,Improve fix for #84 by moving the updating of the process id into the KarafContainerRegistration.
edcf3230843623c470822460dcc2a7e8ed17869a,2013-09-06 19:38:27+03:00,#84 Fix conflict between process name and container name. Use injected MBeanServer instead of Platform.
13e3384302891e922429365e6edd56dd781cece2,2013-09-06 20:14:25+03:00,"#80 Fix broken child container ip attribute. Make container ip, respect resolver changes."
41a9801e5e6fa5bb455fe1ba8e5245694251446b,2013-09-10 22:10:26+03:00,"#89: Join command doesn't attempt to create a zookeeper client, when it requires restart."
b6ba1674d48b27d03a6edc649cd83179451c47a9,2013-09-11 13:41:38-04:00,Fixes issue #91: Expose MQ fabric registrations via HTTP so that clients can use a simpler protocol to get the list of brokers that it should connect to.
a02e0e1296fb7e36cbb708741bbbcf13f96b7234,2013-09-11 13:42:03-04:00,Fix hawtio issue #537
aba264fe5a1d0bc6d7ed235e8dde873c8bef0cf9,2013-09-12 14:47:07+01:00,fixes #76 so we can use a folder structure in the underlying git file system; for easier tooling and user comprehension of the profiles
61fa84b77c63e8e00950072e395b47d4921da38d,2013-09-16 17:15:36+01:00,initial spike of #83 so that we can provision openshift cartridges via the CLI / FMC. Can't get AeroGear push server to start (which could be related to multiple cartridges and ordering?); but tomcat (ews) starts at least
d3f8edff6d162352bde92ff03cdf3b0cdceb3ede,2013-09-17 19:18:32+01:00,first spike for #83 for if an openshift cartridge is started from OpenShift and it is marked as managed; lets clone its git repo so we can then start deploying wars/jars into the git repo
bdf1a5517c7d1e9a03818f900a8fdc08e5a26f6d,2013-09-18 15:33:11+01:00,allow deployment of shared jars and web apps into git for #83 (plus we enable the shared class loader in tomcat too); so we can deploy web apps into tomcat on openshift. next I'll create a maven / assembly plugin alternative so its much faster to git clone / push - as its kinda slow as most WARs are huge ;)
bacf25c63cf3b8f4305535c2c26e6261031830d1,2013-09-19 19:23:02+03:00,#96: Fix handling of zookeeper password when ensemble is auto starting.
721420fd826b2fd0daa27fb0fdbc9149249eaf8f,2013-09-19 19:27:38+01:00,"improve the test cases for #83 for pom.xml based deployment, so that we add <dependency> items, updating versions if required and preserving the scope"
b649e6a5d32b1caa5f59240a0a5610cf1d9b72fd,2013-09-19 19:27:38+01:00,allow #83 to add repository elements to the pom.xml; for maven based deployment of artifacts in different maven repositories
cc20e32c2c248914bb2238dceb50a4c4ab7c9a30,2013-09-19 19:27:38+01:00,#83 use correct phase for copy of deployment artifacts
d13b71e0cb2b19828d8dc741544db840fc458575,2013-09-19 19:27:38+01:00,#83 avoid using snapshot versions
db6f1c1965d0a360c8543e568f86f9db582d8ea3,2013-09-19 19:27:39+01:00,#83 avoid using snapshot versions
a8d54a8a1491d06ffb34f7fe736993b25bc747ef,2013-09-19 22:32:21+01:00,#83 upgrade to 3.x of jgit so we can report on incremental output from a git push (e.g. when pushing to OpenShift)
480bc49ed29df2a5ae54fe183412eddec24c2736,2013-09-19 21:53:56-04:00,Fix #51
e7617418985748612f14f2ac6e212bbb487c2b97,2013-09-20 09:37:32+01:00,#83 tidy imports
d076cc0c42084fcf36e55a2a124704328a3e29f1,2013-09-20 14:20:45+01:00,"#83 show interactive output of the git push; which in the case of a managed cartridge in openshift, shows the maven build output which is run on the openshift cartridge's gear during the push"
